"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Allegany","Allegany County, Maryland",17349,54022,65684
"Anne Arundel","Anne Arundel County, Maryland",138458,101268,122127
"Baltimore","Baltimore County, Maryland",204449,81116,102340
"Calvert","Calvert County, Maryland",23573,107684,118540
"Caroline","Caroline County, Maryland",8457,66471,75645
"Carroll","Carroll County, Maryland",44526,100643,113289
"Cecil","Cecil County, Maryland",26555,79128,90149
"Charles","Charles County, Maryland",37777,104078,116654
"Dorchester","Dorchester County, Maryland",9199,57893,71474
"Frederick","Frederick County, Maryland",62940,98259,111651
"Garrett","Garrett County, Maryland",8314,56341,68234
"Harford","Harford County, Maryland",66487,92642,106672
"Howard","Howard County, Maryland",78834,128657,149530
"Kent","Kent County, Maryland",4751,72360,93234
"Montgomery","Montgomery County, Maryland",248311,117408,153144
"Prince George's","Prince George's County, Maryland",200498,84808,99622
"Queen Anne's","Queen Anne's County, Maryland",13111,97909,112818
"St. Mary's","St. Mary's County, Maryland",28038,95186,109793
"Somerset","Somerset County, Maryland",4979,53413,61713
"Talbot","Talbot County, Maryland",10866,74811,101579
"Washington","Washington County, Maryland",37646,66435,79527
"Wicomico","Wicomico County, Maryland",24644,59379,74694
"Worcester","Worcester County, Maryland",13452,68840,90226
"Baltimore city, Maryland","Baltimore city, Maryland",125055,50151,70903
