"Fairfield County, Connecticut","Hartford County, Connecticut","Litchfield County, Connecticut","Middlesex County, Connecticut","New Haven County, Connecticut","New London County, Connecticut","Tolland County, Connecticut","Windham County, Connecticut"
6574,8863,1014,720,9093,2047,462,1122
3732,5838,589,488,5923,1302,389,915
11036,13259,1871,1655,12876,3360,1260,2002
13273,14689,2881,2201,15963,4312,1524,2154
18570,22737,5446,3494,21560,7520,3262,3436
30173,38289,8969,7041,35489,12955,5703,5370
27532,34023,8654,6771,30813,11418,6885,5778
44089,45500,12016,11226,43843,15262,9884,5898
24080,21723,5117,5367,20256,7285,4689,2085
51249,22206,4459,4887,17884,4906,3329,1062
