"Appling County, Georgia","Atkinson County, Georgia","Bacon County, Georgia","Baker County, Georgia","Baldwin County, Georgia","Banks County, Georgia","Barrow County, Georgia","Bartow County, Georgia","Ben Hill County, Georgia","Berrien County, Georgia","Bibb County, Georgia","Bleckley County, Georgia","Brantley County, Georgia","Brooks County, Georgia","Bryan County, Georgia","Bulloch County, Georgia","Burke County, Georgia","Butts County, Georgia","Calhoun County, Georgia","Camden County, Georgia","Candler County, Georgia","Carroll County, Georgia","Catoosa County, Georgia","Charlton County, Georgia","Chatham County, Georgia","Chattahoochee County, Georgia","Chattooga County, Georgia","Cherokee County, Georgia","Clarke County, Georgia","Clay County, Georgia","Clayton County, Georgia","Clinch County, Georgia","Cobb County, Georgia","Coffee County, Georgia","Colquitt County, Georgia","Columbia County, Georgia","Cook County, Georgia","Coweta County, Georgia","Crawford County, Georgia","Crisp County, Georgia","Dade County, Georgia","Dawson County, Georgia","Decatur County, Georgia","DeKalb County, Georgia","Dodge County, Georgia","Dooly County, Georgia","Dougherty County, Georgia","Douglas County, Georgia","Early County, Georgia","Echols County, Georgia","Effingham County, Georgia","Elbert County, Georgia","Emanuel County, Georgia","Evans County, Georgia","Fannin County, Georgia","Fayette County, Georgia","Floyd County, Georgia","Forsyth County, Georgia","Franklin County, Georgia","Fulton County, Georgia","Gilmer County, Georgia","Glascock County, Georgia","Glynn County, Georgia","Gordon County, Georgia","Grady County, Georgia","Greene County, Georgia","Gwinnett County, Georgia","Habersham County, Georgia","Hall County, Georgia","Hancock County, Georgia","Haralson County, Georgia","Harris County, Georgia","Hart County, Georgia","Heard County, Georgia","Henry County, Georgia","Houston County, Georgia","Irwin County, Georgia","Jackson County, Georgia","Jasper County, Georgia","Jeff Davis County, Georgia","Jefferson County, Georgia","Jenkins County, Georgia","Johnson County, Georgia","Jones County, Georgia","Lamar County, Georgia","Lanier County, Georgia","Laurens County, Georgia","Lee County, Georgia","Liberty County, Georgia","Lincoln County, Georgia","Long County, Georgia","Lowndes County, Georgia","Lumpkin County, Georgia","McDuffie County, Georgia","McIntosh County, Georgia","Macon County, Georgia","Madison County, Georgia","Marion County, Georgia","Meriwether County, Georgia","Miller County, Georgia","Mitchell County, Georgia","Monroe County, Georgia","Montgomery County, Georgia","Morgan County, Georgia","Murray County, Georgia","Muscogee County, Georgia","Newton County, Georgia","Oconee County, Georgia","Oglethorpe County, Georgia","Paulding County, Georgia","Peach County, Georgia","Pickens County, Georgia","Pierce County, Georgia","Pike County, Georgia","Polk County, Georgia","Pulaski County, Georgia","Putnam County, Georgia","Quitman County, Georgia","Rabun County, Georgia","Randolph County, Georgia","Richmond County, Georgia","Rockdale County, Georgia","Schley County, Georgia","Screven County, Georgia","Seminole County, Georgia","Spalding County, Georgia","Stephens County, Georgia","Stewart County, Georgia","Sumter County, Georgia","Talbot County, Georgia","Taliaferro County, Georgia","Tattnall County, Georgia","Taylor County, Georgia","Telfair County, Georgia","Terrell County, Georgia","Thomas County, Georgia","Tift County, Georgia","Toombs County, Georgia","Towns County, Georgia","Treutlen County, Georgia","Troup County, Georgia","Turner County, Georgia","Twiggs County, Georgia","Union County, Georgia","Upson County, Georgia","Walker County, Georgia","Walton County, Georgia","Ware County, Georgia","Warren County, Georgia","Washington County, Georgia","Wayne County, Georgia","Webster County, Georgia","Wheeler County, Georgia","White County, Georgia","Whitfield County, Georgia","Wilcox County, Georgia","Wilkes County, Georgia","Wilkinson County, Georgia","Worth County, Georgia"
412,149,134,83,733,140,735,1380,677,463,3737,220,442,358,213,934,592,310,133,923,283,1733,831,186,3761,91,454,1362,2178,85,4039,242,6634,827,957,1044,463,1791,315,711,197,201,916,9661,407,405,3375,1612,262,94,277,223,658,242,595,675,1348,1163,273,13789,473,27,1454,896,720,362,8772,458,2135,157,747,168,506,204,1738,1871,287,661,249,291,582,380,241,417,353,272,1547,232,1390,207,290,1864,284,665,181,380,342,162,269,126,493,323,193,190,1015,3596,1266,189,190,1455,522,289,319,168,676,308,276,34,230,204,4299,1112,56,273,217,1214,277,231,857,210,18,403,410,634,244,1396,1282,643,50,136,1565,230,227,423,465,964,1342,815,161,333,478,26,236,323,1179,246,210,214,421
221,165,213,79,356,174,543,989,352,231,1982,132,196,224,169,828,568,96,102,444,149,1194,436,91,2394,62,346,777,1245,84,3067,91,4300,448,787,624,283,866,67,429,242,135,381,5700,235,158,1289,1176,162,53,406,395,224,129,432,432,1207,654,318,7076,317,47,972,780,355,140,5233,398,1532,95,381,136,409,227,1223,1164,48,738,112,163,199,87,86,290,252,166,568,253,621,116,176,1039,244,209,121,176,382,56,387,88,180,239,135,271,535,2107,1053,159,83,1245,330,196,175,127,525,43,285,41,155,100,2739,647,111,213,209,830,333,51,449,125,16,375,142,109,226,424,385,363,147,131,788,65,146,233,355,583,531,467,75,343,411,58,100,291,1023,119,187,50,197
637,339,433,109,1388,752,1014,2324,575,715,3987,312,732,455,735,1688,624,461,154,1227,426,2313,1583,280,6290,90,995,3901,2337,130,6741,264,11611,1472,1958,2089,629,1924,320,935,462,659,920,14189,634,510,2927,3046,454,165,1124,710,830,357,1001,1187,2688,1699,795,15431,987,134,2210,1544,995,490,15815,1438,4186,302,849,503,827,325,3591,2900,307,1256,297,505,713,483,184,617,471,171,1415,457,1742,387,273,3255,646,860,258,413,641,158,927,267,811,856,240,561,1455,5151,1956,560,484,2568,803,679,632,328,1410,326,805,153,654,417,5087,1709,109,402,311,1733,871,152,936,309,121,718,356,734,310,1490,1076,821,313,149,1988,399,353,892,1196,2120,1894,1145,261,706,1152,97,279,1286,3916,197,270,390,718
519,308,363,108,1280,584,1736,2275,394,673,3732,342,698,593,696,1853,597,529,139,913,260,3111,2012,354,6118,217,901,4394,2005,146,7268,98,14268,1373,1626,1961,675,2562,426,579,644,565,769,15368,624,466,2999,3682,294,187,1235,834,835,235,915,1690,2866,2329,938,16321,1200,106,1842,1718,893,537,19447,1432,5026,222,818,652,792,269,4484,2945,269,1594,429,565,607,152,388,809,381,258,1488,627,2295,203,436,3069,711,597,281,529,946,294,625,232,876,647,307,409,1526,5612,2859,537,381,3020,728,938,677,539,1299,457,677,111,479,218,4894,2252,102,436,375,1625,864,131,884,178,57,531,415,490,303,1230,1249,973,412,206,1966,412,307,653,804,2290,2332,974,204,632,1062,66,168,871,3360,287,485,291,934
714,209,288,101,1304,720,2947,4498,851,776,4717,442,793,610,903,1920,847,782,110,1951,371,4450,2640,379,9278,602,1252,6213,2389,88,9577,267,19432,1896,1720,3474,525,4454,616,1117,795,978,1161,21286,815,448,3092,5025,394,176,1368,1055,885,394,1134,2538,3528,4124,1059,19508,1800,121,3291,1941,1022,714,25807,1697,6462,222,1194,1012,960,454,6569,4427,310,2402,749,775,646,387,422,967,773,353,1686,997,2694,351,596,3488,1127,921,686,540,1115,292,1113,251,711,984,353,792,1488,6576,3948,900,468,4622,945,1437,859,841,1555,383,1056,119,683,431,6484,3178,210,474,368,2694,1104,179,1168,373,83,861,417,571,341,1797,1251,791,564,275,2253,242,261,1251,1324,3075,3437,1391,180,683,1007,96,163,1159,4325,386,331,284,952
878,284,453,179,1755,1325,4718,6199,665,1098,7057,347,1137,1013,1661,3114,933,1336,268,3486,562,5851,3968,640,12691,566,1472,10678,3780,65,11707,351,28968,1748,2005,7288,1080,7008,745,1227,959,1274,1230,26967,1110,639,3840,6827,458,164,3279,1021,798,402,1303,5115,4748,6822,1033,30408,1405,193,3897,2938,1151,720,38311,2092,9276,342,1460,1531,1208,594,12305,7320,636,3210,815,731,676,352,517,1740,804,782,2279,1568,3568,369,767,4991,1934,1234,842,662,1488,386,1053,332,965,1341,403,922,2648,9028,5553,1590,997,9176,1197,1844,1001,1153,2716,605,1278,138,931,291,8666,4521,278,570,349,3596,1362,132,1434,371,88,1228,376,708,451,2079,1431,1269,654,315,3355,212,213,1197,1475,4147,4851,1653,203,1019,1437,189,300,1916,4975,286,493,503,1024
527,205,416,87,1231,586,3085,3806,195,466,3955,291,576,421,1725,1861,721,961,72,2409,312,3816,2693,224,7946,211,521,9834,2515,74,6395,167,24273,1165,1125,6493,561,5941,489,664,592,1048,852,19329,832,345,2380,5239,277,134,2577,607,610,410,576,4604,2802,6604,832,22618,898,109,2808,1719,730,560,28789,1371,6649,87,1034,1580,821,325,9137,6055,259,2735,360,373,351,135,236,1340,549,327,1511,1124,2376,348,722,3192,913,628,578,378,948,236,802,151,676,1028,267,674,1086,6047,3701,1591,543,7559,847,1239,660,860,1180,368,716,49,602,72,4869,3248,229,517,241,2188,689,85,620,120,27,541,297,276,202,1145,1123,932,294,229,2208,314,208,918,926,2228,3461,1222,149,630,886,110,185,992,3095,195,273,364,725
615,185,371,77,1272,507,2370,3214,253,461,4312,394,367,355,1640,1944,430,808,58,1820,146,3673,2738,352,8396,201,392,11550,2224,41,5735,131,33452,898,1060,6736,275,6802,246,433,655,960,470,21911,637,241,1857,4987,225,67,2581,323,471,283,766,7038,3067,11907,556,31994,636,101,2956,1264,533,464,36416,1368,5864,112,1085,1818,802,393,9267,6632,171,2641,409,363,330,207,158,915,732,142,1192,1450,1589,197,234,3066,933,617,346,74,839,214,404,224,433,1399,172,592,701,5040,3419,1760,495,6083,1022,1196,525,570,1040,363,754,18,524,75,4698,3038,150,336,192,1582,797,74,796,120,13,549,131,203,174,959,953,784,192,149,1979,252,273,634,498,2096,3486,896,58,476,706,90,64,930,2417,119,163,182,535
99,7,52,15,358,111,455,640,41,99,1459,99,23,103,649,521,102,178,29,388,148,1016,503,23,3343,34,65,5401,1000,0,1211,31,16791,218,338,2311,126,2559,119,131,123,321,252,10234,143,26,368,1698,29,23,733,131,85,66,137,3340,698,6013,92,18343,176,17,1088,295,85,263,14393,216,2480,21,243,847,253,92,3147,1782,105,772,136,142,49,50,40,311,95,50,324,432,483,85,76,741,227,128,41,49,154,56,116,30,66,258,29,177,131,1974,866,1042,64,1972,372,224,111,249,111,64,310,0,93,114,1407,1115,0,87,75,431,137,12,235,55,0,79,58,43,76,288,304,115,55,16,470,45,140,275,73,443,977,173,28,90,113,0,0,217,731,40,41,21,113
47,31,41,18,154,107,211,476,35,17,1293,96,15,79,285,403,24,31,32,273,39,638,166,61,3056,27,111,3521,950,0,540,34,16971,189,160,2599,91,1085,40,112,102,358,151,11733,17,21,631,1112,59,27,339,81,126,36,46,3137,606,5302,7,30905,271,0,1246,343,40,288,10592,177,1942,13,71,721,115,23,1445,1218,63,422,76,42,30,0,44,286,20,40,234,260,339,16,0,542,184,57,16,16,114,25,75,5,33,119,33,287,75,1640,347,881,31,853,82,363,64,87,206,18,296,3,136,35,1175,608,19,72,19,346,116,9,103,23,7,138,46,19,0,320,275,166,38,47,567,12,18,93,51,423,678,176,31,83,76,3,0,200,714,20,33,8,87
