"Beaverhead County, Montana","Big Horn County, Montana","Blaine County, Montana","Broadwater County, Montana","Carbon County, Montana","Carter County, Montana","Cascade County, Montana","Chouteau County, Montana","Custer County, Montana","Daniels County, Montana","Dawson County, Montana","Deer Lodge County, Montana","Fallon County, Montana","Fergus County, Montana","Flathead County, Montana","Gallatin County, Montana","Garfield County, Montana","Glacier County, Montana","Golden Valley County, Montana","Granite County, Montana","Hill County, Montana","Jefferson County, Montana","Judith Basin County, Montana","Lake County, Montana","Lewis and Clark County, Montana","Liberty County, Montana","Lincoln County, Montana","McCone County, Montana","Madison County, Montana","Meagher County, Montana","Mineral County, Montana","Missoula County, Montana","Musselshell County, Montana","Park County, Montana","Petroleum County, Montana","Phillips County, Montana","Pondera County, Montana","Powder River County, Montana","Powell County, Montana","Prairie County, Montana","Ravalli County, Montana","Richland County, Montana","Roosevelt County, Montana","Rosebud County, Montana","Sanders County, Montana","Sheridan County, Montana","Silver Bow County, Montana","Stillwater County, Montana","Sweet Grass County, Montana","Teton County, Montana","Toole County, Montana","Treasure County, Montana","Valley County, Montana","Wheatland County, Montana","Wibaux County, Montana","Yellowstone County, Montana"
74,246,138,83,104,27,987,112,139,2,48,104,24,65,1044,658,13,378,0,35,211,77,27,419,529,36,216,20,57,7,25,1037,38,109,7,77,112,24,76,22,512,55,243,104,225,12,369,77,45,54,82,5,86,0,15,1509
110,130,97,74,56,7,753,63,124,21,136,70,20,76,655,507,0,211,20,49,195,13,8,441,405,22,280,12,37,22,31,972,46,106,0,23,42,8,52,25,228,98,81,56,166,18,381,50,16,25,37,0,55,9,10,952
150,279,181,103,211,29,1858,177,225,48,208,224,45,329,2338,1403,31,447,19,85,404,183,44,820,866,29,953,47,107,29,156,2118,166,335,10,104,123,36,167,27,1483,205,214,211,483,97,909,152,61,192,139,30,139,75,14,2537
251,305,179,245,285,32,2079,222,288,38,196,267,95,448,2415,1676,35,333,27,113,347,321,55,1073,1187,37,659,44,279,80,175,2550,160,437,25,147,192,45,222,49,1304,262,236,261,619,75,992,282,129,181,101,36,147,148,39,3594
432,479,270,383,506,53,3199,217,429,87,435,492,130,460,3900,2945,51,482,35,158,592,362,105,1113,2223,100,889,88,308,99,164,3535,147,719,26,181,288,88,253,81,1841,262,285,332,468,163,1252,315,119,230,254,46,337,86,28,5119
602,451,275,263,630,68,5053,346,851,110,610,482,151,654,6085,4954,88,411,52,277,936,621,125,1657,3626,105,1059,113,532,120,169,5811,451,878,53,238,338,99,430,58,2311,538,471,502,763,227,1682,637,218,329,290,45,501,48,38,8733
375,343,166,292,437,57,3355,184,501,96,409,335,194,444,3380,3878,39,299,30,90,657,589,108,1131,3416,82,577,71,423,45,137,3814,178,711,16,245,255,71,138,37,1429,578,260,314,320,195,1297,578,172,253,171,24,308,73,61,6552
292,286,112,174,388,45,2858,166,352,69,512,238,110,273,3047,3833,48,185,16,100,563,652,49,782,2915,82,576,85,308,39,55,4128,116,357,10,135,159,78,142,21,1200,392,229,326,217,140,1162,494,118,172,163,33,319,86,47,6084
84,79,27,12,116,13,549,56,88,38,59,30,21,107,784,1106,8,103,5,57,126,224,8,203,893,16,66,21,43,4,23,1183,51,126,0,41,27,8,25,3,337,115,51,103,68,42,246,147,43,77,31,0,88,0,16,2054
18,60,40,72,61,9,652,43,80,5,58,56,42,84,832,1202,7,36,1,26,37,179,6,120,483,53,127,17,107,6,34,1075,10,94,8,15,30,28,25,5,326,241,32,46,28,65,161,69,17,27,41,3,43,0,5,1604
