"Alamance County, North Carolina","Alexander County, North Carolina","Alleghany County, North Carolina","Anson County, North Carolina","Ashe County, North Carolina","Avery County, North Carolina","Beaufort County, North Carolina","Bertie County, North Carolina","Bladen County, North Carolina","Brunswick County, North Carolina","Buncombe County, North Carolina","Burke County, North Carolina","Cabarrus County, North Carolina","Caldwell County, North Carolina","Camden County, North Carolina","Carteret County, North Carolina","Caswell County, North Carolina","Catawba County, North Carolina","Chatham County, North Carolina","Cherokee County, North Carolina","Chowan County, North Carolina","Clay County, North Carolina","Cleveland County, North Carolina","Columbus County, North Carolina","Craven County, North Carolina","Cumberland County, North Carolina","Currituck County, North Carolina","Dare County, North Carolina","Davidson County, North Carolina","Davie County, North Carolina","Duplin County, North Carolina","Durham County, North Carolina","Edgecombe County, North Carolina","Forsyth County, North Carolina","Franklin County, North Carolina","Gaston County, North Carolina","Gates County, North Carolina","Graham County, North Carolina","Granville County, North Carolina","Greene County, North Carolina","Guilford County, North Carolina","Halifax County, North Carolina","Harnett County, North Carolina","Haywood County, North Carolina","Henderson County, North Carolina","Hertford County, North Carolina","Hoke County, North Carolina","Hyde County, North Carolina","Iredell County, North Carolina","Jackson County, North Carolina","Johnston County, North Carolina","Jones County, North Carolina","Lee County, North Carolina","Lenoir County, North Carolina","Lincoln County, North Carolina","McDowell County, North Carolina","Macon County, North Carolina","Madison County, North Carolina","Martin County, North Carolina","Mecklenburg County, North Carolina","Mitchell County, North Carolina","Montgomery County, North Carolina","Moore County, North Carolina","Nash County, North Carolina","New Hanover County, North Carolina","Northampton County, North Carolina","Onslow County, North Carolina","Orange County, North Carolina","Pamlico County, North Carolina","Pasquotank County, North Carolina","Pender County, North Carolina","Perquimans County, North Carolina","Person County, North Carolina","Pitt County, North Carolina","Polk County, North Carolina","Randolph County, North Carolina","Richmond County, North Carolina","Robeson County, North Carolina","Rockingham County, North Carolina","Rowan County, North Carolina","Rutherford County, North Carolina","Sampson County, North Carolina","Scotland County, North Carolina","Stanly County, North Carolina","Stokes County, North Carolina","Surry County, North Carolina","Swain County, North Carolina","Transylvania County, North Carolina","Tyrrell County, North Carolina","Union County, North Carolina","Vance County, North Carolina","Wake County, North Carolina","Warren County, North Carolina","Washington County, North Carolina","Watauga County, North Carolina","Wayne County, North Carolina","Wilkes County, North Carolina","Wilson County, North Carolina","Yadkin County, North Carolina","Yancey County, North Carolina"
1978,366,127,417,575,304,723,350,931,1644,2903,1333,1627,1384,72,876,260,1729,580,493,302,83,1965,1269,1694,5631,124,244,2739,399,1145,3632,1584,5021,926,3303,243,217,777,191,7256,1408,1547,895,1091,598,811,83,2416,614,2367,149,871,1275,966,885,744,248,570,11457,336,562,1478,1387,2167,558,2145,1210,172,725,847,245,592,2634,236,2059,1134,3893,1662,2080,1207,1032,1341,652,766,1505,374,427,88,1469,742,7062,337,337,826,2218,1343,1722,535,304
1520,383,266,282,342,125,762,195,587,1570,2556,961,1410,1104,21,725,508,1262,523,275,168,165,1060,829,1122,2654,189,186,1508,238,604,1950,804,3004,654,2307,113,96,441,249,4574,946,1070,858,925,289,780,226,1263,393,1823,165,591,869,494,446,381,153,210,7185,146,399,732,687,1661,264,1493,884,98,299,580,186,428,1709,189,1550,857,2213,1171,1634,1020,840,685,618,600,923,173,218,55,1133,728,5434,297,66,306,1395,1015,943,414,140
4333,1294,434,990,1184,673,1502,858,1308,3241,4680,2966,3814,2651,191,1607,793,3930,1398,1037,486,435,2931,1648,2367,8098,538,544,4251,847,2338,5531,1646,8918,1580,6241,295,330,1237,445,10893,1961,2898,1799,2964,870,1166,100,3425,1287,4422,267,1335,1776,2082,1499,1000,861,902,17780,671,936,1473,3059,3896,948,4114,2087,423,906,1114,428,1123,3913,644,4321,1454,5015,2909,3701,2630,2167,1210,1632,1428,2761,252,882,153,3622,1680,13112,660,326,963,3523,3093,2377,1184,763
4538,1011,576,1192,1060,632,1462,711,901,3623,6559,2810,3800,2710,238,2088,753,5040,1687,1096,526,354,2999,1551,2936,8915,616,848,5285,1349,1949,6031,2086,9198,2193,6113,275,449,1714,665,13114,1698,3829,2075,3368,618,1345,172,4426,1131,3872,330,1660,1991,2165,1478,1529,622,862,19694,480,926,2669,2654,4200,849,5741,1932,301,1082,1932,347,1184,3819,632,5579,1602,4564,3040,4385,2921,2091,1010,1911,1588,2863,505,1136,217,4160,1401,16178,735,424,1158,3665,2638,2333,1231,572
6348,1805,621,1339,1212,794,2170,811,1567,5296,9799,3790,7092,3321,393,2971,1116,6128,2216,1549,639,591,4245,2471,4530,13512,671,1395,6879,1994,2615,8346,2362,11033,2807,8296,606,441,1899,877,17118,2139,3964,2827,4568,1015,1415,340,6170,1562,7118,444,2125,2518,3352,2029,1808,947,887,27527,852,1066,3168,3970,6357,871,8521,3261,647,1494,2130,756,1898,5109,988,5820,1802,4728,4694,6008,3752,2669,1470,2365,2320,2885,403,1655,120,6436,1929,22931,915,561,1427,4926,3566,3694,1795,1133
8374,2216,517,1192,1924,1005,2686,894,1615,6761,12441,5390,8949,4774,615,3754,1505,8504,3960,1573,763,431,5404,2738,5922,16896,1607,2198,9908,2595,3051,10848,2893,17447,3239,10753,683,471,3068,1028,23920,2875,6034,4126,6852,1031,2937,329,8521,2149,9258,562,3213,3286,4493,2571,2258,1298,1260,40794,1034,1204,5480,5029,9376,859,9987,4507,877,2129,2739,846,1980,7895,1328,8413,2277,5143,5273,7644,3678,2875,1299,3724,2804,4176,865,1908,225,11102,2063,38928,970,729,2184,7181,3589,4356,2194,1050
5893,1385,452,534,979,543,1845,513,1251,4684,8030,3056,8173,2544,497,3029,719,5666,2485,843,430,412,3556,1678,4302,10708,1092,1477,6524,1749,1878,9362,1739,12477,2204,7449,455,165,1954,806,16267,1282,4574,2346,4553,639,1888,125,6547,1215,7160,321,2328,1847,2754,1471,1167,921,996,30232,592,693,3960,3758,7266,669,5214,3564,449,1534,1980,513,1426,5388,638,5550,1301,3417,3537,4820,1819,1862,802,2590,2225,2419,537,1524,140,8722,1292,34538,459,314,1837,4494,2121,2787,1350,774
5198,927,285,382,576,317,1451,439,707,4735,8309,2065,7506,1519,493,2439,480,4722,3064,336,384,293,2462,1594,3583,9777,1352,1607,5490,1462,821,11777,1103,13159,2145,6399,484,171,2332,468,17978,1318,3705,2069,3913,522,1387,95,6189,841,6587,255,1759,1272,3410,758,865,390,453,36404,279,648,3400,2825,9156,449,4633,5301,538,1109,1776,493,1259,5545,887,4055,916,1896,2329,4449,1588,1618,769,1984,1442,2106,251,977,58,10096,908,49178,508,357,1396,3268,1228,2071,1173,271
1214,205,62,100,220,132,310,182,193,1070,2511,533,2783,251,130,794,83,1558,1255,249,86,138,602,294,935,2977,268,387,1340,535,289,4438,195,4110,574,1735,112,43,554,106,6615,212,950,574,1196,171,258,0,1983,338,2082,96,535,404,975,237,241,140,115,16587,106,159,1097,932,2835,85,1321,3212,96,420,623,139,274,1603,213,1003,178,512,804,635,348,414,122,353,291,331,136,191,7,4010,157,23079,168,77,507,939,375,569,248,80
1219,151,20,120,129,190,196,38,161,924,2515,332,1895,483,52,685,89,1235,1326,19,47,29,461,231,714,1873,91,337,994,601,132,4069,116,4776,325,1722,21,40,205,139,6015,223,502,409,890,66,81,32,2210,184,844,32,281,226,1014,165,223,59,37,20553,58,158,1475,742,2871,8,612,4760,81,255,534,99,173,1521,94,459,148,511,396,634,312,284,57,165,202,346,40,219,8,4225,194,21313,93,7,421,603,385,422,292,76
