"Adams County, Pennsylvania","Allegheny County, Pennsylvania","Armstrong County, Pennsylvania","Beaver County, Pennsylvania","Bedford County, Pennsylvania","Berks County, Pennsylvania","Blair County, Pennsylvania","Bradford County, Pennsylvania","Bucks County, Pennsylvania","Butler County, Pennsylvania","Cambria County, Pennsylvania","Cameron County, Pennsylvania","Carbon County, Pennsylvania","Centre County, Pennsylvania","Chester County, Pennsylvania","Clarion County, Pennsylvania","Clearfield County, Pennsylvania","Clinton County, Pennsylvania","Columbia County, Pennsylvania","Crawford County, Pennsylvania","Cumberland County, Pennsylvania","Dauphin County, Pennsylvania","Delaware County, Pennsylvania","Elk County, Pennsylvania","Erie County, Pennsylvania","Fayette County, Pennsylvania","Forest County, Pennsylvania","Franklin County, Pennsylvania","Fulton County, Pennsylvania","Greene County, Pennsylvania","Huntingdon County, Pennsylvania","Indiana County, Pennsylvania","Jefferson County, Pennsylvania","Juniata County, Pennsylvania","Lackawanna County, Pennsylvania","Lancaster County, Pennsylvania","Lawrence County, Pennsylvania","Lebanon County, Pennsylvania","Lehigh County, Pennsylvania","Luzerne County, Pennsylvania","Lycoming County, Pennsylvania","McKean County, Pennsylvania","Mercer County, Pennsylvania","Mifflin County, Pennsylvania","Monroe County, Pennsylvania","Montgomery County, Pennsylvania","Montour County, Pennsylvania","Northampton County, Pennsylvania","Northumberland County, Pennsylvania","Perry County, Pennsylvania","Philadelphia County, Pennsylvania","Pike County, Pennsylvania","Potter County, Pennsylvania","Schuylkill County, Pennsylvania","Snyder County, Pennsylvania","Somerset County, Pennsylvania","Sullivan County, Pennsylvania","Susquehanna County, Pennsylvania","Tioga County, Pennsylvania","Union County, Pennsylvania","Venango County, Pennsylvania","Warren County, Pennsylvania","Washington County, Pennsylvania","Wayne County, Pennsylvania","Westmoreland County, Pennsylvania","Wyoming County, Pennsylvania","York County, Pennsylvania"
514,12802,803,1990,498,4769,1237,650,2431,1267,1595,61,584,852,2504,459,933,467,540,1019,1216,2914,4509,400,3601,1924,44,1263,124,456,435,898,486,164,2156,3992,1156,1388,4348,4453,1430,705,1147,495,1415,3662,187,2310,1217,283,29430,514,173,1388,316,659,29,312,511,291,664,286,2014,372,3466,176,3435
385,8727,519,1164,477,2964,1046,525,2288,940,1032,30,540,830,1392,297,862,289,520,880,1270,1473,2859,168,2528,1762,34,879,119,271,308,538,407,181,1480,2862,908,627,2590,2997,804,384,861,402,1187,2545,53,1898,703,292,18405,297,232,1058,239,651,30,479,461,371,478,306,1301,405,2100,201,2699
1884,19903,1716,3059,1452,7094,3019,1449,5832,2834,3408,110,1387,1824,4378,858,2160,836,1513,2374,2680,4443,7102,734,5889,3862,165,2630,410,933,1070,1836,1291,657,4763,8405,2275,1973,5918,7015,2337,1042,2507,1470,3553,6995,239,4036,2718,857,37676,916,540,3552,754,1872,160,1094,976,785,1606,983,3367,995,7575,649,6677
2307,25040,2257,4487,1720,8677,3606,1935,8612,4031,4590,147,2019,2709,6113,1133,2689,1138,2007,2449,4273,5995,9982,874,6485,4497,161,3662,471,1221,1452,2406,1510,760,5589,11470,2718,3076,7606,8975,3189,1251,3630,1614,3991,10097,507,5929,3358,1094,34240,1243,580,4341,1367,2616,255,1212,1460,1356,1879,1312,4722,1746,9300,804,9236
3453,36682,3146,7006,2437,13861,5806,2849,16010,5913,6194,297,2942,4062,10181,1701,3804,1548,2773,3982,7737,8819,15033,1695,10397,5685,266,6386,720,1408,2047,3815,2202,1118,8393,19006,3891,5426,11440,12195,4907,2147,5366,2625,5336,17667,729,9526,4276,1807,44871,2189,827,6516,2107,3423,277,1847,2128,1633,2667,2015,7148,2010,14353,1237,15672
6446,58588,4730,10340,3563,22650,7899,3791,27697,10429,8476,308,4154,7079,18167,2704,5093,2347,3493,5331,12673,13660,23511,2354,15240,8016,304,8986,1053,1855,2929,4899,3031,1626,11726,31310,5612,8998,18342,17609,7537,2820,7196,2942,9627,32102,1131,15921,5573,3323,52678,3435,1118,9015,2355,5084,317,2897,2714,2428,3748,2527,12435,3220,22213,1654,26175
5000,47761,2960,7925,2041,16942,4812,2484,26948,8276,5928,226,2924,5266,18731,1379,2930,1551,2336,3543,11060,11130,19784,1415,10797,4604,130,6523,680,1488,1826,3392,1843,1152,7645,24234,3751,6270,13837,12461,4518,1591,4410,1705,6683,31752,663,12828,4010,2530,35165,3067,656,6499,1433,3089,231,1849,1658,1417,2114,1873,9403,2181,15747,1196,20655
5121,53269,2366,7399,1506,18423,3986,2201,38458,9635,4318,108,2400,5839,29601,1094,2174,1174,2409,2500,12637,12093,27326,899,9888,3494,58,6823,494,1413,1199,2606,1174,681,8532,22863,3182,5944,15251,11331,3550,1143,3962,956,7287,48394,701,15450,2780,2119,34558,2491,485,4914,1247,2197,170,1484,1335,1104,1487,1422,9445,1590,17389,1147,21940
1500,20476,560,2238,293,5668,935,402,18384,3741,980,42,631,2317,17355,251,598,224,686,502,4421,3636,13573,225,2576,834,22,1647,107,339,297,826,197,170,2182,7131,801,1341,5717,3380,932,197,833,191,2945,24896,251,5604,725,555,11772,938,95,1184,271,579,34,368,300,428,342,305,2927,585,5439,243,6705
872,21121,367,1175,181,4623,982,452,19048,2998,707,11,291,1819,21963,214,269,124,440,432,3716,3719,13359,159,2387,516,5,966,52,136,159,641,141,71,1922,5509,475,1294,4880,2762,643,182,639,206,1459,30642,325,4027,417,201,10129,438,94,709,332,445,25,240,210,442,139,194,2807,295,4030,180,4580
